prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0066,06-06,0606,East Side Baptist Church,0606;0604;0309;0607;0601;0602;0608;0605;0603;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0606.pdf,PrecinctPollingLoc_0606.pdf,0,,,,,,needs_review
0067,06-07,0607,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0607.pdf,PrecinctPollingLoc_0607.pdf,0,,,,,,needs_review
0068,06-08,0608,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0608.pdf,PrecinctPollingLoc_0608.pdf,0,,,,,,needs_review
0069,06-09,0609,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0609.pdf,PrecinctPollingLoc_0609.pdf,1,008256,Memphis 95-6,1.0,shelby_geometry_review,core_tn08,resolved
0070,07-01,0701,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0701.pdf,PrecinctPollingLoc_0701.pdf,1,008098,Lucy 1,1.0,shelby_geometry_review,boundary_split,resolved
0071,07-02,0702,Ed Rice Community Center,0704;0702;0801;0701;0703;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0702.pdf,PrecinctPollingLoc_0702.pdf,0,,,,,,needs_review
0072,07-03,0703,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0703.pdf,PrecinctPollingLoc_0703.pdf,0,,,,,,needs_review
0073,07-04,0704,Ed Rice Community Center,0704;0702;0801;0703;0705;0607;0605;0603;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0704.pdf,PrecinctPollingLoc_0704.pdf,0,,,,,,needs_review
0074,07-05,0705,Hollywood Community Ctr,0607;0706;0708;0705;0801;0704;0709;0707;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0705.pdf,PrecinctPollingLoc_0705.pdf,0,,,,,,needs_review
0075,07-06,0706,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0706.pdf,PrecinctPollingLoc_0706.pdf,1,008222,Memphis 81-7,1.0,shelby_geometry_review,boundary_split,resolved
