county_fp,county_norm,prctseq,vtd20,vtd_name,weight,source,confidence
157,SHELBY,106,008177,Memphis 67-1,1.0,shelby_geometry_review,core_tn08
157,SHELBY,107,008179,Memphis 68-1,1.0,shelby_geometry_review,core_tn08
157,SHELBY,111,008192,Memphis 73-3,1.0,shelby_geometry_review,sliver_only
157,SHELBY,112,008194,Memphis 74-1,1.0,shelby_geometry_review,sliver_only
157,SHELBY,116,008245,Memphis 93-1,1.0,shelby_geometry_review,sliver_only
157,SHELBY,122,008216,Memphis 80-2,1.0,shelby_geometry_review,core_tn08
157,SHELBY,127,008219,Memphis 81-3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,128,008217,Memphis 81-1,1.0,shelby_geometry_review,core_tn08
157,SHELBY,129,008259,Memphis 96-1,1.0,shelby_geometry_review,core_tn08
157,SHELBY,130,008260,Millington 1,1.0,shelby_geometry_review,sliver_only
157,SHELBY,133,008231,Memphis 87-3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,135,008263,Morning Sun 02,1.0,shelby_geometry_review,boundary_split
157,SHELBY,137,008229,Memphis 86,1.0,shelby_geometry_review,sliver_only
157,SHELBY,141,008270,Stewartville,1.0,shelby_geometry_review,core_tn08
