audit_label,scope,lines_year,contest_type,year,district,has_allocated_result,has_reference_result,calc_dem_votes,ref_dem_votes,dem_delta,calc_rep_votes,ref_rep_votes,rep_delta,calc_other_votes,ref_other_votes,other_delta,calc_total_votes,ref_total_votes,total_delta,abs_total_delta,total_delta_pct_of_ref,calc_margin_pct,ref_margin_pct,margin_pct_delta,abs_margin_pct_delta
state_house_2022,state_house,2022,president,2024,50,True,True,22137.8587,16832.0,5305.8587,10893.2622,15402.0,-4508.7378,637.1171,674.0,-36.8829,33668.2381,32908.0,760.2381,760.2381,2.3102,-33.3982,-4.3454,-29.0528,29.0528
state_house_2022,state_house,2022,us_senate,2024,54,True,True,14878.1282,21585.0,-6706.8718,4079.4511,5089.0,-1009.5489,395.8607,591.0,-195.1393,19353.44,27265.0,-7911.56,7911.56,-29.0173,-55.7972,-60.5025,4.7053,4.7053
state_house_2022,state_house,2022,us_senate,2024,93,True,True,14744.0177,12179.0,2565.0177,5769.0283,3667.0,2102.0283,593.2931,521.0,72.2931,21106.3391,16367.0,4739.3391,4739.3391,28.9567,-42.5227,-52.0071,9.4844,9.4844
state_house_2022,state_house,2022,us_senate,2024,55,True,True,13110.3287,11674.0,1436.3287,7567.6371,4332.0,3235.6371,429.8406,408.0,21.8406,21107.8064,16414.0,4693.8064,4693.8064,28.5964,-26.259,-44.7301,18.4711,18.4711
state_house_2022,state_house,2022,us_senate,2024,50,True,True,21705.5947,16684.0,5021.5947,10596.7316,15043.0,-4446.2684,716.9636,645.0,71.9636,33019.2899,32372.0,647.2899,647.2899,1.9995,-33.6436,-5.0692,-28.5744,28.5744
state_house_2022,state_house,2022,us_senate,2024,67,True,True,12580.5015,10627.0,1953.5015,15641.1284,11319.0,4322.1284,902.1158,718.0,184.1158,29123.7457,22664.0,6459.7457,6459.7457,28.5022,10.509,3.0533,7.4557,7.4557
state_house_2022,state_house,2022,president,2024,67,True,True,13409.678,11386.0,2023.678,16330.3476,11777.0,4553.3476,486.5221,394.0,92.5221,30226.5477,23557.0,6669.5477,6669.5477,28.3124,9.6626,1.6598,8.0028,8.0028
state_house_2022,state_house,2022,president,2024,93,True,True,15685.8464,13021.0,2664.8464,5595.2135,3530.0,2065.2135,400.0197,349.0,51.0197,21681.0796,16900.0,4781.0796,4781.0796,28.2904,-46.5412,-56.1598,9.6186,9.6186
state_house_2022,state_house,2022,us_senate,2024,87,True,True,15011.0689,12508.0,2503.0689,4302.9169,2654.0,1648.9169,699.5787,535.0,164.5787,20013.5645,15697.0,4316.5645,4316.5645,27.4993,-53.5045,-62.7763,9.2719,9.2719
state_house_2022,state_house,2022,governor,2022,88,True,True,14353.3074,19676.0,-5322.6926,6991.0157,9766.0,-2774.9843,550.7091,751.0,-200.2909,21895.0322,30193.0,-8297.9678,8297.9678,-27.4831,-33.6254,-32.8222,-0.8032,0.8032
state_house_2022,state_house,2022,president,2024,37,True,True,7879.3607,10419.0,-2539.6393,11849.6818,16782.0,-4932.3182,329.7169,431.0,-101.2831,20058.7594,27632.0,-7573.2406,7573.2406,-27.4075,19.7935,23.0276,-3.2342,3.2342
state_house_2022,state_house,2022,us_senate,2024,37,True,True,7751.4159,10234.0,-2482.5841,11533.9308,16322.0,-4788.0692,461.515,642.0,-180.485,19746.8616,27198.0,-7451.1384,7451.1384,-27.3959,19.155,22.384,-3.229,3.229
state_house_2022,state_house,2022,governor,2022,83,True,False,4308.0576,0.0,4308.0576,7630.3899,0.0,7630.3899,236.8704,0.0,236.8704,12175.318,0.0,12175.318,12175.318,0.0,27.2874,0.0,27.2874,27.2874
state_house_2022,state_house,2022,us_senate,2024,28,True,True,19894.0771,17535.0,2359.0771,10347.0827,6237.0,4110.0827,795.9626,679.0,116.9626,31037.1224,24451.0,6586.1224,6586.1224,26.936,-30.7599,-46.2067,15.4468,15.4468
state_house_2022,state_house,2022,president,2024,28,True,True,20918.7566,18370.0,2548.7566,10166.5918,6129.0,4037.5918,528.8101,430.0,98.8101,31614.1585,24929.0,6685.1585,6685.1585,26.8168,-34.0106,-49.1035,15.0929,15.0929
state_house_2022,state_house,2022,president,2024,55,True,True,13251.8111,11892.0,1359.8111,7764.9551,4659.0,3105.9551,419.204,357.0,62.204,21435.9702,16908.0,4527.9702,4527.9702,26.78,-25.5965,-42.7786,17.1821,17.1821
state_senate_2022,state_senate,2022,president,2024,20,True,True,72323.4117,87954.0,-15630.5883,41150.7459,65535.0,-24384.2541,2394.5223,3282.0,-887.4777,115868.6798,156771.0,-40902.3202,40902.3202,-26.0905,-26.9034,-14.3005,-12.603,12.603
state_house_2022,state_house,2022,president,2024,87,True,True,16167.0376,13627.0,2540.0376,4101.8923,2441.0,1660.8923,390.0412,318.0,72.0412,20658.971,16386.0,4272.971,4272.971,26.077,-58.4015,-68.2656,9.8641,9.8641
state_house_2022,state_house,2022,us_senate,2024,53,True,True,17747.2312,14406.0,3341.2312,11295.6581,8483.0,2812.6581,582.5547,622.0,-39.4453,29625.444,23511.0,6114.444,6114.444,26.0067,-21.7771,-25.1925,3.4153,3.4153
state_house_2022,state_house,2022,president,2024,53,True,True,17859.4019,14505.0,3354.4019,11550.0828,8943.0,2607.0828,668.4927,565.0,103.4927,30077.9774,24013.0,6064.9774,6064.9774,25.2571,-20.9765,-23.1625,2.1859,2.1859
state_house_2022,state_house,2022,us_senate,2024,16,True,True,13628.1652,10571.0,3057.1652,26709.3541,21761.0,4948.3541,579.1845,498.0,81.1845,40916.7038,32830.0,8086.7038,8086.7038,24.6321,31.9703,34.0847,-2.1144,2.1144
state_house_2022,state_house,2022,president,2024,16,True,True,13419.864,10316.0,3103.864,26992.202,22171.0,4821.202,560.744,444.0,116.744,40972.81,32931.0,8041.81,8041.81,24.4202,33.1252,35.9995,-2.8743,2.8743
state_house_2022,state_house,2022,us_senate,2024,44,True,True,7120.7439,8917.0,-1796.2561,19711.4084,26473.0,-6761.5916,568.6233,780.0,-211.3767,27400.7755,36170.0,-8769.2245,8769.2245,-24.2445,45.95,48.5375,-2.5874,2.5874
state_house_2022,state_house,2022,president,2024,44,True,True,7291.145,9051.0,-1759.855,20508.5683,27650.0,-7141.4317,313.2616,390.0,-76.7384,28112.9749,37091.0,-8978.0251,8978.0251,-24.2054,47.0154,50.1442,-3.1289,3.1289
state_house_2022,state_house,2022,us_senate,2024,68,True,True,9588.7221,11483.0,-1894.2779,16825.8557,23300.0,-6474.1443,696.5117,796.0,-99.4883,27111.0894,35579.0,-8467.9106,8467.9106,-23.8003,26.6944,33.2134,-6.519,6.519
state_house_2022,state_house,2022,governor,2022,98,True,True,10365.4123,14474.0,-4108.5877,4329.3741,4745.0,-415.6259,402.6075,546.0,-143.3925,15097.394,19765.0,-4667.606,4667.606,-23.6155,-39.9807,-49.2234,9.2427,9.2427
state_house_2022,state_house,2022,president,2024,68,True,True,10193.9372,12064.0,-1870.0628,17346.936,24017.0,-6670.064,400.8525,487.0,-86.1475,27941.7257,36568.0,-8626.2743,8626.2743,-23.5897,25.5997,32.687,-7.0873,7.0873
state_senate_2022,state_senate,2022,president,2020,31,True,True,48824.5802,38816.0,10008.5802,64842.3414,53206.0,11636.3414,1808.3418,1414.0,394.3418,115475.2634,93436.0,22039.2634,22039.2634,23.5876,13.8712,15.4009,-1.5298,1.5298
state_house_2022,state_house,2022,us_senate,2024,27,True,True,17960.5981,15046.0,2914.5981,28955.2845,23142.0,5813.2845,887.8732,733.0,154.8732,47803.7558,38921.0,8882.7558,8882.7558,22.8225,22.9996,20.8011,2.1985,2.1985
state_house_2022,state_house,2022,president,2024,27,True,True,18345.418,15371.0,2974.418,28741.874,22986.0,5755.874,785.424,653.0,132.424,47872.716,39010.0,8862.716,8862.716,22.7191,21.7169,19.5206,2.1962,2.1962
state_senate_2022,state_senate,2022,president,2024,10,True,True,35148.089,46501.0,-11352.911,56785.4081,71601.0,-14815.5919,1374.051,1819.0,-444.949,93307.5482,119921.0,-26613.4518,26613.4518,-22.1925,23.1892,20.9304,2.2588,2.2588
state_senate_2022,state_senate,2022,president,2020,11,True,True,43210.9403,35455.0,7755.9403,60127.5792,49302.0,10825.5792,2087.8777,1677.0,410.8777,105426.3971,86434.0,18992.3971,18992.3971,21.9733,16.0459,16.0203,0.0256,0.0256
state_senate_2022,state_senate,2022,president,2024,33,True,True,41575.6915,43951.0,-2375.3085,16088.221,8868.0,7220.221,1055.7449,924.0,131.7449,58719.6573,53743.0,4976.6573,4976.6573,9.2601,-43.4053,-65.2792,21.8739,21.8739
state_house_2022,state_house,2022,president,2024,84,True,True,12496.1934,13735.0,-1238.8066,3632.8529,1783.0,1849.8529,296.8643,259.0,37.8643,16425.9105,15777.0,648.9105,648.9105,4.113,-53.9595,-75.7558,21.7963,21.7963
state_senate_2022,state_senate,2022,president,2020,32,True,True,35210.3346,44694.0,-9483.6654,52689.4854,66885.0,-14195.5146,1365.0951,1695.0,-329.9049,89264.9152,113274.0,-24009.0848,24009.0848,-21.1956,19.5812,19.5906,-0.0093,0.0093
state_senate_2022,state_senate,2022,us_senate,2024,33,True,True,39161.9077,40813.0,-1651.0923,16458.4163,9204.0,7254.4163,1571.1228,1929.0,-357.8772,57191.4469,51946.0,5245.4469,5245.4469,10.0979,-39.6974,-60.8497,21.1524,21.1524
state_senate_2022,state_senate,2022,president,2024,31,True,True,46495.8437,34673.0,11822.8437,43200.2943,49423.0,-6222.7057,1495.2954,1559.0,-63.7046,91191.4334,85655.0,5536.4334,5536.4334,6.4636,-3.6139,17.2202,-20.8341,20.8341
state_house_2022,state_house,2022,president,2024,58,True,True,12730.6895,17502.0,-4771.3105,5101.0907,4976.0,125.0907,378.744,505.0,-126.256,18210.5241,22983.0,-4772.4759,4772.4759,-20.7652,-41.8966,-54.5012,12.6045,12.6045
state_house_2022,state_house,2022,us_senate,2024,58,True,True,12454.9705,16950.0,-4495.0295,4983.2325,4994.0,-10.7675,419.7943,543.0,-123.2057,17857.9974,22487.0,-4629.0026,4629.0026,-20.5852,-41.8397,-53.1685,11.3288,11.3288
state_house_2022,state_house,2022,governor,2022,28,True,True,10889.5794,8983.0,1906.5794,6129.5518,5130.0,999.5518,355.0645,302.0,53.0645,17374.1957,14415.0,2959.1957,2959.1957,20.5286,-27.3971,-26.7291,-0.668,0.668
state_house_2022,state_house,2022,president,2024,59,True,True,29830.3249,20975.0,8855.3249,19432.7934,19931.0,-498.2066,1050.3104,883.0,167.3104,50313.4286,41789.0,8524.4286,8524.4286,20.3987,-20.6655,-2.4983,-18.1673,18.1673
state_house_2022,state_house,2022,president,2024,98,True,True,14334.4658,15851.0,-1516.5342,9042.9487,6279.0,2763.9487,418.6853,405.0,13.6853,23796.0997,22535.0,1261.0997,1261.0997,5.5962,-22.2369,-42.4761,20.2392,20.2392
state_senate_2022,state_senate,2022,governor,2022,31,True,True,24894.6662,26771.0,-1876.3338,35759.5746,25473.0,10286.5746,1308.9831,1210.0,98.9831,61963.2239,53454.0,8509.2239,8509.2239,15.9188,17.5344,-2.4283,19.9627,19.9627
congressional_2026,congressional,2026,us_senate,2020,9,True,True,131148.5541,103727.0,27421.5541,177990.2192,217084.0,-39093.7808,7902.4206,7973.0,-70.5794,317041.1939,328784.0,-11742.8061,11742.8061,-3.5716,14.7746,34.4777,-19.703,19.703
state_senate_2022,state_senate,2022,us_senate,2024,11,True,True,43183.9746,37031.0,6152.9746,63056.6004,51899.0,11157.6004,2083.0855,1738.0,345.0855,108323.6604,90668.0,17655.6604,17655.6604,19.4729,18.3456,16.3983,1.9473,1.9473
state_house_2022,state_house,2022,us_senate,2024,98,True,True,13855.8559,15021.0,-1165.1441,9071.5108,6289.0,2782.5108,524.7545,619.0,-94.2455,23452.1211,21929.0,1523.1211,1523.1211,6.9457,-20.4005,-39.8194,19.4189,19.4189
congressional_2026,congressional,2026,president,2020,9,True,True,144078.9676,116268.0,27810.9676,179684.0224,219441.0,-39756.9776,5043.8127,6198.0,-1154.1873,328806.8027,341907.0,-13100.1973,13100.1973,-3.8315,10.8286,30.1757,-19.3472,19.3472
state_house_2022,state_house,2022,us_senate,2024,59,True,True,29308.0898,20719.0,8589.0898,19202.7187,20154.0,-951.2813,1080.763,686.0,394.763,49591.5715,41559.0,8032.5715,8032.5715,19.3281,-20.3772,-1.3595,-19.0177,19.0177
state_house_2022,state_house,2022,president,2024,95,True,True,16289.9674,11343.0,4946.9674,22338.5017,23728.0,-1389.4983,609.44,586.0,23.44,39237.9091,35657.0,3580.9091,3580.9091,10.0427,15.415,34.7337,-19.3187,19.3187
state_house_2022,state_house,2022,us_senate,2024,84,True,True,11646.3328,12503.0,-856.6672,3708.0357,1990.0,1718.0357,535.2645,690.0,-154.7355,15889.633,15183.0,706.633,706.633,4.6541,-49.959,-69.2419,19.2829,19.2829
congressional_2026,congressional,2026,governor,2022,9,True,True,56854.3638,71943.0,-15088.6362,112761.9783,137794.0,-25032.0217,3616.3207,4795.0,-1178.6793,173232.6628,214532.0,-41299.3372,41299.3372,-19.2509,32.2731,30.6952,1.5779,1.5779
