precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
BRADLEY - 000506,BRADLEY,000506,24,0.9974888947,1.0,2,1
BRADLEY - 000507,BRADLEY,000507,24,1.0,1.0,1,0
BRADLEY - 000508,BRADLEY,000508,22,0.9996776829,1.0,2,1
BRADLEY - 000509,BRADLEY,000509,24,0.9993389549,1.0,2,1
BRADLEY - 000510,BRADLEY,000510,24,0.9994027165,1.0,2,1
BRADLEY - 000511,BRADLEY,000511,22,0.9995286488,0.9999663044,2,1
BRADLEY - 000512,BRADLEY,000512,22,0.9997051615,1.0,2,1
BRADLEY - 000513,BRADLEY,000513,24,0.9956386383,1.0,2,1
BRADLEY - 000514,BRADLEY,000514,24,0.9880114813,1.0,2,1
BRADLEY - 000515,BRADLEY,000515,22,0.9997019823,0.9999921446,3,1
BRADLEY - 000516,BRADLEY,000516,24,0.9987713361,1.0,3,1
BRADLEY - 000517,BRADLEY,000517,22,0.9990346621,1.0,4,1
CAMPBELL - 000601,CAMPBELL,000601,36,1.0,1.0,1,0
CAMPBELL - 000602,CAMPBELL,000602,36,0.9999048246,1.0,2,1
CAMPBELL - 000603,CAMPBELL,000603,36,1.0,1.0,1,0
CAMPBELL - 000604,CAMPBELL,000604,36,1.0,1.0,1,0
CAMPBELL - 000605,CAMPBELL,000605,36,0.9994999853,1.0,2,1
CAMPBELL - 000607,CAMPBELL,000607,36,1.0,1.0,1,0
CAMPBELL - 000608,CAMPBELL,000608,36,1.0,1.0,1,0
CAMPBELL - 000609,CAMPBELL,000609,36,1.0,1.0,1,0
CAMPBELL - 000610,CAMPBELL,000610,36,1.0,1.0,1,0
CAMPBELL - 000611,CAMPBELL,000611,36,1.0,1.0,1,0
CAMPBELL - 000612,CAMPBELL,000612,36,0.9995804945,1.0,2,1
CAMPBELL - 000613,CAMPBELL,000613,36,0.9997081906,1.0,2,1
CAMPBELL - 000614,CAMPBELL,000614,36,0.9993256169,1.0,3,1
CAMPBELL - 000615,CAMPBELL,000615,36,0.9996732525,1.0,2,1
CAMPBELL - 000616,CAMPBELL,000616,36,0.9999142897,1.0,2,1
CAMPBELL - 000617,CAMPBELL,000617,36,1.0,1.0,1,0
CAMPBELL - 000618,CAMPBELL,000618,36,1.0,1.0,1,0
CAMPBELL - 000619,CAMPBELL,000619,36,0.9999976293,0.9999976293,1,0
CAMPBELL - 000620,CAMPBELL,000620,36,0.9996747648,0.9999957708,2,1
CAMPBELL - 000621,CAMPBELL,000621,36,0.9998888784,0.9998888784,1,0
CANNON - 000701,CANNON,000701,40,0.9997008723,1.0,3,1
CANNON - 000702,CANNON,000702,40,0.9999823732,1.0,2,1
CANNON - 000703,CANNON,000703,40,0.9998954035,1.0,3,1
CANNON - 000704,CANNON,000704,40,0.9999780742,1.0,2,1
CANNON - 000705,CANNON,000705,40,1.0,1.0,1,0
CANNON - 000706,CANNON,000706,40,0.9999235837,1.0,3,1
CANNON - 000707,CANNON,000707,40,1.0,1.0,1,0
CANNON - 000708,CANNON,000708,40,1.0,1.0,1,0
CANNON - 000709,CANNON,000709,40,0.9999601806,1.0,2,1
CARROLL - 000801,CARROLL,000801,76,0.9996488875,1.0,2,1
CARROLL - 000802,CARROLL,000802,76,1.0,1.0,1,0
CARROLL - 000803,CARROLL,000803,76,0.9992420842,1.0,3,1
