county,code,vtd_name,old_cd5_share,old_cd8_share,old_cd9_share,new_cd5_share,new_cd8_share,new_cd9_share,delta_cd8_share,old_dominant_cd,new_dominant_cd,moved_into_cd8_from_5_or_9
SHELBY,008195,Memphis 74-2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008197,Memphis 74-5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008199,Memphis 74-9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008200,Memphis 75-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008201,Memphis 75-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008202,Memphis 75-6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008203,Memphis 75-7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008204,Memphis 76-4,0.0,0.0,1.0,0.9991417178662758,0.0,0.0008582821337242175,0.0,9,5,no
SHELBY,008205,Memphis 76-5,0.0,0.0,1.0,0.9996361461657445,0.0,0.000363853834255583,0.0,9,5,no
SHELBY,008206,Memphis 76-6,0.0,0.0,1.0,0.0009026976928714593,0.0,0.9990973023071285,0.0,9,9,no
SHELBY,008207,Memphis 77-1,0.0,0.0,1.0,0.9995082752859286,0.0,0.0004917247140714345,0.0,9,5,no
SHELBY,008209,Memphis 77-3,0.0,0.0,1.0,0.00028725843738902916,0.0,0.999712741562611,0.0,9,9,no
SHELBY,008210,Memphis 78-3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008211,Memphis 79-1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008212,Memphis 79-2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008213,Memphis 79-3,0.0,0.0,1.0,1.1927857067125332e-05,0.0,0.999988072142933,0.0,9,9,no
SHELBY,008214,Memphis 79-7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008224,Memphis 82-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008226,Memphis 83,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008228,Memphis 84-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008240,Memphis 90-3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008243,Memphis 92-1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008244,Memphis 94-6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008246,Memphis 93-3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008248,Memphis 94-3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008250,Memphis 94-7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008251,Memphis 94-8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008265,Ross Store 05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008266,Ross Store 13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008267,Ross Store 14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008268,Ross Store 15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008269,Ross Store 16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008094,Germantown 11,0.0,1.0,0.0,0.0,0.9999999890780513,1.0921948665405496e-08,-1.0921948678799254e-08,8,8,no
SHELBY,008071,Collierville 4,0.0,1.0,0.0,0.0,0.999773753478015,0.00022624652198488564,-0.00022624652198499628,8,8,no
SHELBY,008070,Collierville 3,0.0,1.0,0.0,0.0,0.9995808686979831,0.00041913130201691787,-0.000419131302016873,8,8,no
SHELBY,008083,Forest Hills 2,0.0,0.0004421296883692667,0.9995578703116307,0.0,0.0,1.0,-0.0004421296883692667,9,9,no
SHELBY,008073,Collierville 6,0.0,0.999923629919983,7.637008001700771e-05,0.0,0.9975894602405813,0.0024105397594186536,-0.0023341696794016986,8,8,no
SHELBY,008075,Collierville 8,0.0,1.0,0.0,0.0,0.9942454208555018,0.005754579144498221,-0.005754579144498173,8,8,no
SHELBY,008082,Forest Hills 1,0.0,0.6617509301714178,0.33824906982858216,0.0,0.31490530531572813,0.6850946946842719,-0.3468456248556897,8,9,no
SHELBY,008081,Eads,0.0,0.9992019564015123,0.0007980435984876375,0.0,0.44583497861982513,0.5541650213801749,-0.5533669777816872,8,9,no
SHELBY,008072,Collierville 5,0.0,1.0,0.0,0.0,0.4118627942999988,0.5881372057000013,-0.5881372057000012,8,9,no
SHELBY,008271,Collierville 9,0.0,1.0,0.0,0.0,0.29139384275565594,0.708606157244344,-0.7086061572443441,8,9,no
SHELBY,008074,Collierville 7,0.0,0.9324887679321527,0.06751123206784722,0.0,0.0,1.0,-0.9324887679321527,8,9,no
SHELBY,008069,Collierville 2,0.0,0.9570439262215794,0.04295607377842067,0.0,0.0001221277999638561,0.9998778722000361,-0.9569217984216155,8,9,no
SHELBY,008068,Collierville 1,0.0,1.0,0.0,0.0,7.086587970630211e-05,0.9999291341202937,-0.9999291341202937,8,9,no
